Qty,Reference(s),Value,Footprint,Datasheet
2,"C1, C2",10F,christmas_tree:Supercap_SMD,~
2,"C3, C4",100n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
1,C5,DNP,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
1,D1,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
4,"D2, D4, D5, D7",LED,christmas_tree:LED_0805_orb_r,~
7,"D3, D6, D8, D9, D10, D11, D12",LED,christmas_tree:LED_0805_orb,~
1,J1,USB_A,footprints:USBA_PCB, ~
1,J2,Conn_01x06,christmas_tree:Tag-Connect_noHoles,~
1,J3,Touch,christmas_tree:Touch_capacitive,~
2,"JP1, JP2",Jumper_NC_Small,Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,~
2,"JP3, JP4",Jumper_NO_Small,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,~
2,"R1, R10",100,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
2,"R2, R4",12k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
2,"R3, R5",280k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
4,"R6, R7, R8, R9",220,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
1,SW1,SW_SPDT_shield,footprints:SPDT_SW_pcb_edge_mount,~
2,"U1, U2",TL431LP,christmas_tree:TO92_H,http://www.ti.com/lit/ds/symlink/tl431.pdf
1,U3,ATtiny45-20SU,Package_SO:SOIJ-8_5.3x5.3mm_P1.27mm,http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf
1,U4,TTP223,Package_TO_SOT_SMD:SOT-23-6_Handsoldering,https://datasheet.lcsc.com/szlcsc/TTP223-BA6_C80757.pdf
